dt,sensor,tmp,hum,press
"2016, 21, 6",sensor_0,31.03297222,42.82163889,101074.6798
"2016, 21, 6",sensor_0,31.13013889,43.11336111,101014.7264
"2016, 21, 6",sensor_0,30.77008333,45.18991667,100947.3506
"2016, 21, 6",sensor_0,30.47477778,47.40413889,100888.959
"2016, 21, 6",sensor_0,30.67333333,49.34266667,100837.7874
"2016, 21, 6",sensor_0,30.544,51.04713889,100851.628
"2016, 21, 6",sensor_0,29.43719444,55.48613889,100937.2153
"2016, 21, 6",sensor_0,29.70858333,52.39763889,100830.9453
"2016, 21, 6",sensor_0,32.76261111,42.23336111,100918.3825
"2016, 21, 6",sensor_0,39.21955556,26.05,100997.7276
"2016, 21, 6",sensor_0,41.388,24.34488889,101011.9579
"2016, 21, 6",sensor_0,44.00744444,21.37638889,101051.9686
"2016, 21, 6",sensor_0,44.78475,20.41055556,100992.5495
"2016, 21, 6",sensor_0,45.08511111,20.53752778,100911.1868
"2016, 21, 6",sensor_0,44.07583333,22.38102778,100837.0746
"2016, 21, 6",sensor_0,40.93086111,26.27566667,100735.3644
"2016, 21, 6",sensor_0,36.01077778,34.61319444,100702.7945
"2016, 21, 6",sensor_0,34.65241667,42.34908333,100664.0681
"2016, 21, 6",sensor_0,33.18611111,50.94666667,100643.82
"2016, 21, 6",sensor_0,33.03344444,52.18597222,100671.3602
"2016, 21, 6",sensor_0,32.95913889,46.08561111,100719.876
"2016, 21, 6",sensor_0,31.84244444,29.00491667,100808.4616
"2016, 21, 6",sensor_0,31.29172222,30.20097222,100841.64
"2016, 21, 6",sensor_0,30.95319444,29.95641667,100857.3084
"2016, 22, 6",sensor_0,30.97186111,28.27852778,100881.3067
"2016, 22, 6",sensor_0,31.47369444,27.30788889,100870.5393
"2016, 22, 6",sensor_0,30.58561111,29.44622222,100848.5617
"2016, 22, 6",sensor_0,29.49177778,34.15277778,100852.8679
"2016, 22, 6",sensor_0,28.27919444,41.83413889,100856.928
"2016, 22, 6",sensor_0,28.87069444,38.21863889,100847.4601
"2016, 22, 6",sensor_0,32.49213889,37.15772222,100859.247
"2016, 22, 6",sensor_0,39.00580556,27.44144444,100864.3688
"2016, 22, 6",sensor_0,45.65730556,20.56838889,100858.3198
"2016, 22, 6",sensor_0,44.906,20.52463889,100866.947
"2016, 22, 6",sensor_0,46.33813889,20.06255556,100886.8809
"2016, 22, 6",sensor_0,43.08136111,21.65794444,100853.1114
"2016, 22, 6",sensor_0,40.25236111,21.81686111,100848.3981
"2016, 22, 6",sensor_0,39.70875,21.92063889,100867.6244
"2016, 22, 6",sensor_0,36.32611111,23.56763889,100891.7966
"2016, 22, 6",sensor_0,35.74180556,24.30494444,100885.9456
"2016, 22, 6",sensor_0,35.00394444,25.43986111,100920.8205
"2016, 22, 6",sensor_0,34.71341667,26.516,100930.0112
"2016, 22, 6",sensor_0,34.48922222,28.88572222,100944.8283
"2016, 22, 6",sensor_0,33.69402778,30.01358333,100981.9181
"2016, 22, 6",sensor_0,32.65366667,31.15027778,101037.6219
"2016, 22, 6",sensor_0,32.66716667,30.51233333,101125.0591
"2016, 22, 6",sensor_0,32.03547222,31.125,101199.1859
"2016, 22, 6",sensor_0,31.60186111,34.43761111,101230.5234
"2016, 23, 6",sensor_0,30.59591667,36.11380556,101199.4452
"2016, 23, 6",sensor_0,30.82419444,36.05375,101179.5249
"2016, 23, 6",sensor_0,30.52313889,37.86494444,101197.6546
"2016, 23, 6",sensor_0,30.39530556,39.20736111,101138.9108
"2016, 23, 6",sensor_0,29.99647222,38.84319444,101106.6585
"2016, 23, 6",sensor_0,29.54536111,42.79269444,101113.5289
"2016, 23, 6",sensor_0,29.78588889,45.15675,101139.0186
"2016, 23, 6",sensor_0,31.1405,39.93794444,101131.3259
"2016, 23, 6",sensor_0,33.71230556,34.53816667,101114.7684
"2016, 23, 6",sensor_0,35.50594444,31.95994444,101119.6323
"2016, 23, 6",sensor_0,34.00063889,36.24069444,101104.6492
"2016, 23, 6",sensor_0,34.73858333,36.74486111,101040.7873
"2016, 23, 6",sensor_0,36.12813889,33.81369444,100987.7254
"2016, 23, 6",sensor_0,38.103207,33.06247813,100936.8208
"2016, 23, 6",sensor_0,40.76922222,29.62625,100908.2698
