dt,,hum
"2016, 6, 21",y:,42.82163889
"2016, 6, 21",y:,43.11336111
"2016, 6, 21",y:,45.18991667
"2016, 6, 21",y:,47.40413889
"2016, 6, 21",y:,49.34266667
"2016, 6, 21",y:,51.04713889
"2016, 6, 21",y:,55.48613889
"2016, 6, 21",y:,52.39763889
"2016, 6, 21",y:,42.23336111
"2016, 6, 21",y:,26.05
"2016, 6, 21",y:,24.34488889
"2016, 6, 21",y:,21.37638889
"2016, 6, 21",y:,20.41055556
"2016, 6, 21",y:,20.53752778
"2016, 6, 21",y:,22.38102778
"2016, 6, 21",y:,26.27566667
"2016, 6, 21",y:,34.61319444
"2016, 6, 21",y:,42.34908333
"2016, 6, 21",y:,50.94666667
"2016, 6, 21",y:,52.18597222
"2016, 6, 21",y:,46.08561111
"2016, 6, 21",,29.00491667
"2016, 6, 21",,30.20097222
"2016, 6, 21",,29.95641667
"2016, 6, 22",,28.27852778
"2016, 6, 22",,27.30788889
"2016, 6, 22",,29.44622222
"2016, 6, 22",,34.15277778
"2016, 6, 22",,41.83413889
"2016, 6, 22",,38.21863889
"2016, 6, 22",,37.15772222
"2016, 6, 22",,27.44144444
"2016, 6, 22",,20.56838889
"2016, 6, 22",,20.52463889
"2016, 6, 22",,20.06255556
"2016, 6, 22",,21.65794444
"2016, 6, 22",,21.81686111
"2016, 6, 22",,21.92063889
"2016, 6, 22",,23.56763889
"2016, 6, 22",,24.30494444
"2016, 6, 22",,25.43986111
"2016, 6, 22",,26.516
"2016, 6, 22",,28.88572222
"2016, 6, 22",,30.01358333
"2016, 6, 22",,31.15027778
"2016, 6, 22",,30.51233333
"2016, 6, 22",,31.125
"2016, 6, 22",,34.43761111
"2016, 6, 23",,36.11380556
"2016, 6, 23",,36.05375
"2016, 6, 23",,37.86494444
"2016, 6, 23",,39.20736111
"2016, 6, 23",,38.84319444
"2016, 6, 23",,42.79269444
"2016, 6, 23",,45.15675
"2016, 6, 23",,39.93794444
"2016, 6, 23",,34.53816667
"2016, 6, 23",,31.95994444
"2016, 6, 23",,36.24069444
"2016, 6, 23",,36.74486111
"2016, 6, 23",,33.81369444
"2016, 6, 23",,33.06247813
"2016, 6, 23",,29.62625
"2016, 6, 23",,32.30402778
"2016, 6, 23",,34.80763889
"2016, 6, 23",,46.70386111
"2016, 6, 23",,54.76311111
"2016, 6, 23",,58.58413889
"2016, 6, 23",,65.29645251
"2016, 6, 23",,62.99036111
"2016, 6, 23",,60.46544444
"2016, 6, 23",,61.7425
"2016, 6, 24",,64.43875
"2016, 6, 24",,64.39936111
"2016, 6, 24",,65.26338889
"2016, 6, 24",,63.8435
"2016, 6, 24",,67.37588889
"2016, 6, 24",,59.11863889
"2016, 6, 24",,42.67033333
"2016, 6, 24",,45.20261111
"2016, 6, 24",,35.70047222
"2016, 6, 24",,29.91055556
"2016, 6, 24",,28.32997222
"2016, 6, 24",,26.95777778
"2016, 6, 24",,26.65247222
"2016, 6, 24",,29.1665
"2016, 6, 24",,35.59413889
"2016, 6, 24",,42.71411111
"2016, 6, 24",,51.13752778
"2016, 6, 24",,55.48452778
"2016, 6, 24",,54.80180556
"2016, 6, 24",,58.16530556
"2016, 6, 24",,61.28533333
"2016, 6, 24",,63.64936111
"2016, 6, 24",,63.13344444
"2016, 6, 24",,64.82622222
"2016, 6, 25",,64.18711111
"2016, 6, 25",,65.93694444
"2016, 6, 25",,67.81022222
"2016, 6, 25",,67.86922222
"2016, 6, 25",,72.38830556
"2016, 6, 25",,70.94838889
"2016, 6, 25",,59.05230556
"2016, 6, 25",,45.10436111
"2016, 6, 25",,34.39341667
"2016, 6, 25",,27.43344444
"2016, 6, 25",,28.89708333
"2016, 6, 25",,28.39883333
"2016, 6, 25",,30.05755556
"2016, 6, 25",,28.87205556
"2016, 6, 25",,27.66161111
"2016, 6, 25",,29.90219444
"2016, 6, 25",,31.85352778
"2016, 6, 25",,33.70238889
"2016, 6, 25",,35.65111111
"2016, 6, 25",,38.11719444
"2016, 6, 25",,46.93266667
"2016, 6, 25",,53.20638889
"2016, 6, 25",,57.97072222
"2016, 6, 25",,61.93697222
