dt,,press
"2016, 6, 21",y:,101074.6798
"2016, 6, 21",y:,101014.7264
"2016, 6, 21",y:,100947.3506
"2016, 6, 21",y:,100888.959
"2016, 6, 21",y:,100837.7874
"2016, 6, 21",y:,100851.628
"2016, 6, 21",y:,100937.2153
"2016, 6, 21",y:,100830.9453
"2016, 6, 21",y:,100918.3825
"2016, 6, 21",y:,100997.7276
"2016, 6, 21",y:,101011.9579
"2016, 6, 21",y:,101051.9686
"2016, 6, 21",y:,100992.5495
"2016, 6, 21",y:,100911.1868
"2016, 6, 21",y:,100837.0746
"2016, 6, 21",y:,100735.3644
"2016, 6, 21",y:,100702.7945
"2016, 6, 21",y:,100664.0681
"2016, 6, 21",y:,100643.82
"2016, 6, 21",y:,100671.3602
"2016, 6, 21",y:,100719.876
"2016, 6, 21",,100808.4616
"2016, 6, 21",,100841.64
"2016, 6, 21",,100857.3084
"2016, 6, 22",,100881.3067
"2016, 6, 22",,100870.5393
"2016, 6, 22",,100848.5617
"2016, 6, 22",,100852.8679
"2016, 6, 22",,100856.928
"2016, 6, 22",,100847.4601
"2016, 6, 22",,100859.247
"2016, 6, 22",,100864.3688
"2016, 6, 22",,100858.3198
"2016, 6, 22",,100866.947
"2016, 6, 22",,100886.8809
"2016, 6, 22",,100853.1114
"2016, 6, 22",,100848.3981
"2016, 6, 22",,100867.6244
"2016, 6, 22",,100891.7966
"2016, 6, 22",,100885.9456
"2016, 6, 22",,100920.8205
"2016, 6, 22",,100930.0112
"2016, 6, 22",,100944.8283
"2016, 6, 22",,100981.9181
"2016, 6, 22",,101037.6219
"2016, 6, 22",,101125.0591
"2016, 6, 22",,101199.1859
"2016, 6, 22",,101230.5234
"2016, 6, 23",,101199.4452
"2016, 6, 23",,101179.5249
"2016, 6, 23",,101197.6546
"2016, 6, 23",,101138.9108
"2016, 6, 23",,101106.6585
"2016, 6, 23",,101113.5289
"2016, 6, 23",,101139.0186
"2016, 6, 23",,101131.3259
"2016, 6, 23",,101114.7684
"2016, 6, 23",,101119.6323
"2016, 6, 23",,101104.6492
"2016, 6, 23",,101040.7873
"2016, 6, 23",,100987.7254
"2016, 6, 23",,100936.8208
"2016, 6, 23",,100908.2698
"2016, 6, 23",,100922.4258
"2016, 6, 23",,100898.4951
"2016, 6, 23",,100877.8418
"2016, 6, 23",,100890.359
"2016, 6, 23",,100924.5791
"2016, 6, 23",,100972.8665
"2016, 6, 23",,101035.657
"2016, 6, 23",,101089.1218
"2016, 6, 23",,101127.3073
"2016, 6, 24",,101129.8103
"2016, 6, 24",,101156.3134
"2016, 6, 24",,101222.1203
"2016, 6, 24",,101249.8745
"2016, 6, 24",,101297.3534
"2016, 6, 24",,101371.1799
"2016, 6, 24",,101431.0614
"2016, 6, 24",,101511.5577
"2016, 6, 24",,101596.6512
"2016, 6, 24",,101649.0979
"2016, 6, 24",,101679.3606
"2016, 6, 24",,101707.6757
"2016, 6, 24",,101699.1145
"2016, 6, 24",,101708.7813
"2016, 6, 24",,101733.351
"2016, 6, 24",,101771.3628
"2016, 6, 24",,101766.0058
"2016, 6, 24",,101764.8434
"2016, 6, 24",,101792.2086
"2016, 6, 24",,101818.5963
"2016, 6, 24",,101831.753
"2016, 6, 24",,101884.559
"2016, 6, 24",,101931.1648
"2016, 6, 24",,101923.8115
"2016, 6, 25",,101934.2216
"2016, 6, 25",,101961.1782
"2016, 6, 25",,101957.6418
"2016, 6, 25",,101979.5553
"2016, 6, 25",,102010.6006
"2016, 6, 25",,102070.8955
"2016, 6, 25",,102133.5856
"2016, 6, 25",,102176.5235
"2016, 6, 25",,102193.1428
"2016, 6, 25",,102195.3933
"2016, 6, 25",,102187.1839
"2016, 6, 25",,102211.3642
"2016, 6, 25",,102211.6871
"2016, 6, 25",,102196.8521
"2016, 6, 25",,102153.3172
"2016, 6, 25",,102118.6304
"2016, 6, 25",,102122.3064
"2016, 6, 25",,102132.0326
"2016, 6, 25",,102107.1779
"2016, 6, 25",,102118.3281
"2016, 6, 25",,102169.9268
"2016, 6, 25",,102199.6714
"2016, 6, 25",,102219.7497
"2016, 6, 25",,102230.3543
"2016, 6, 26",,102250.8713
"2016, 6, 26",,102275.3448
"2016, 6, 26",,102297.2146
"2016, 6, 26",,102346.8247
"2016, 6, 26",,102344.4501
"2016, 6, 26",,102316.9295
"2016, 6, 26",,102307.2389
"2016, 6, 26",,102310.5168
"2016, 6, 26",,102322.861
"2016, 6, 26",,102306.7057
"2016, 6, 26",,102279.9871
"2016, 6, 26",,102263.2741
"2016, 6, 26",,102268.0631
"2016, 6, 26",,102232.6163
"2016, 6, 26",,102185.8112
"2016, 6, 26",,102126.8052
"2016, 6, 26",,102088.9358
"2016, 6, 26",,102036.3281
"2016, 6, 26",,102014.0639
"2016, 6, 26",,101985.1254
"2016, 6, 26",,101946.6126
"2016, 6, 26",,101947.7501
"2016, 6, 26",,101961.3318
"2016, 6, 26",,101979.943
"2016, 6, 27",,101975.5366
"2016, 6, 27",,101992.1406
"2016, 6, 27",,101963.4136
"2016, 6, 27",,101942.0124
"2016, 6, 27",,101938.5738
"2016, 6, 27",,101952.6381
"2016, 6, 27",,101947.5805
"2016, 6, 27",,101917.5679
"2016, 6, 27",,101912.5488
"2016, 6, 27",,101897.8851
"2016, 6, 27",,101848.6447
"2016, 6, 27",,101805.6759
"2016, 6, 27",,101751.626
"2016, 6, 27",,101675.5669
"2016, 6, 27",,101592.4958
"2016, 6, 27",,101541.9926
"2016, 6, 27",,101505.4569
"2016, 6, 27",,101478.2313
"2016, 6, 27",,101472.7443
"2016, 6, 27",,101506.2241
"2016, 6, 27",,101532.185
"2016, 6, 27",,101579.4609
"2016, 6, 27",,101610.4014
"2016, 6, 27",,101574.4556
"2016, 6, 28",,101564.5804
"2016, 6, 28",,101534.2481
"2016, 6, 28",,101510.2892
"2016, 6, 28",,101477.2218
"2016, 6, 28",,101472.0215
"2016, 6, 28",,101496.1392
"2016, 6, 28",,101488.7196
"2016, 6, 28",,101516.2102
"2016, 6, 28",,101523.9581
"2016, 6, 28",,101517.2461
"2016, 6, 28",,101492.7697
"2016, 6, 28",,101480.8176
"2016, 6, 28",,101464.0397
"2016, 6, 28",,101414.9803
"2016, 6, 28",,101318.9895
"2016, 6, 28",,101270.7699
"2016, 6, 28",,101208.5602
"2016, 6, 28",,101208.2999
"2016, 6, 28",,101217.7604
"2016, 6, 28",,101218.3601
"2016, 6, 28",,101190.9583
"2016, 6, 28",,101128.8234
"2016, 6, 28",,101137.6265
"2016, 6, 28",,101148.6149
"2016, 6, 29",,101126.7182
"2016, 6, 29",,101144.205
"2016, 6, 29",,101189.1483
"2016, 6, 29",,101219.1493
"2016, 6, 29",,101238.0405
"2016, 6, 29",,101232.2018
"2016, 6, 29",,101205.5476
"2016, 6, 29",,101191.9993
"2016, 6, 29",,101139.3653
"2016, 6, 29",,101110.0632
"2016, 6, 29",,101133.2857
"2016, 6, 29",,101157.655
"2016, 6, 29",,101228.7888
"2016, 6, 29",,101294.4022
"2016, 6, 29",,101343.2666
"2016, 6, 29",,101351.0269
"2016, 6, 29",,101359.8524
"2016, 6, 29",,101377.475
"2016, 6, 29",,101401.1819
"2016, 6, 29",,101437.1457
"2016, 6, 29",,101492.2168
"2016, 6, 30",,101556.7928
"2016, 6, 30",,101586.8088
"2016, 6, 30",,101598.8566
"2016, 6, 30",,101605.3862
"2016, 6, 30",,101626.1184
"2016, 6, 30",,101618.2379
"2016, 6, 30",,101602.4482
"2016, 6, 30",,101571.4384
"2016, 6, 30",,101524.6042
"2016, 6, 30",,101491.7398
"2016, 6, 30",,101450.7137
"2016, 6, 30",,101473.007
"2016, 6, 30",,101493.0482
"2016, 6, 30",,101504.6544
"2016, 6, 30",,101512.1556
"2016, 6, 30",,101546.69
"2016, 6, 30",,101592.4928
"2016, 6, 30",,101582.7334
"2016, 6, 30",,101590.795
"2016, 6, 30",,101622.5399
"2016, 6, 30",,101589.9437
"2016, 6, 30",,101558.3509
"2016, 6, 30",,101565.1363
