dt,sensor,tmp,hum,press
2016-06-21 00:00:00,sensor_0,31.0329722222,42.8216388889,101074.679806
2016-06-21 00:00:00,sensor_2,27.2536388889,48.8323055556,101313.202778
2016-06-21 00:00:00,sensor_3,30.7223888889,36.3929444444,101220.811028
2016-06-21 00:00:00,sensor_4,27.9008888889,44.8091666667,101158.285972
2016-06-21 01:00:00,sensor_0,31.1301388889,43.1133611111,101014.726389
2016-06-21 01:00:00,sensor_2,27.1125833333,48.8740833333,101253.430639
2016-06-21 01:00:00,sensor_3,30.4361666667,37.3069444444,101159.622694
2016-06-21 01:00:00,sensor_4,27.8596388889,44.9092777778,101097.633694
2016-06-21 02:00:00,sensor_0,30.7700833333,45.1899166667,100947.350639
2016-06-21 02:00:00,sensor_2,27.1625555556,49.2709444444,101186.098528
2016-06-21 02:00:00,sensor_3,30.0356111111,39.39925,101095.523778
2016-06-21 02:00:00,sensor_4,27.6746388889,46.4533611111,101030.728528
2016-06-21 03:00:00,sensor_0,30.4747777778,47.4041388889,100888.959028
2016-06-21 03:00:00,sensor_2,26.8887222222,51.4681944444,101127.793278
2016-06-21 03:00:00,sensor_3,29.9269722222,40.9274444444,101036.136917
2016-06-21 03:00:00,sensor_4,27.4084444444,49.0135555556,100971.072833
2016-06-21 04:00:00,sensor_0,30.6733333333,49.3426666667,100837.787361
2016-06-21 04:00:00,sensor_2,27.1322222222,51.6991388889,101072.301889
2016-06-21 04:00:00,sensor_3,29.5640277778,44.0036944444,100985.969694
2016-06-21 04:00:00,sensor_4,27.3423611111,51.5177222222,100920.985194
2016-06-21 05:00:00,sensor_0,30.544,51.0471388889,100851.628028
2016-06-21 05:00:00,sensor_2,27.4056666667,52.0375833333,101083.553861
2016-06-21 05:00:00,sensor_3,29.3228888889,46.0467777778,100995.683139
2016-06-21 05:00:00,sensor_4,26.78525,54.8019444444,100932.132389
2016-06-21 06:00:00,sensor_0,29.4371944444,55.4861388889,100937.215306
2016-06-21 06:00:00,sensor_2,27.1973055556,53.3091388889,101171.934556
2016-06-21 06:00:00,sensor_3,29.0418333333,48.0892777778,101085.188306
2016-06-21 06:00:00,sensor_4,26.4482777778,56.9707222222,101023.570639
2016-06-21 07:00:00,sensor_0,29.7085833333,52.3976388889,100830.94525
2016-06-21 07:00:00,sensor_2,27.1298611111,52.5958333333,101083.367528
2016-06-21 07:00:00,sensor_3,28.9878055556,46.2429444444,100991.095917
